"zip","med_inc","pop","party"
"02540",59858,8221,"Democratic"
"02542",45107,1139,"Democratic"
"02543",66250,635,"Democratic"
"02553",53125,226,"Democratic"
"02554",85835,9852,"Democratic"
"02556",77661,3115,"Democratic"
"02557",69844,4491,"Democratic"
"02558",49121,2156,"Democratic"
"02559",59489,3376,"Democratic"
"02561",73750,539,"Democratic"
"02562",62778,2977,"Democratic"
"02563",79578,10359,"Democratic"
"02564",59412,310,"Democratic"
"02568",48935,4000,"Democratic"
"02571",56250,10481,"Democratic"
"02575",70963,2725,"Democratic"
"02576",79760,3754,"Democratic"
"02584",NA,10,"Democratic"
"02601",39454,14089,"Democratic"
"02630",61250,1850,"Democratic"
"02631",61397,9679,"Democratic"
"02632",67422,10742,"Democratic"
"02633",66516,3884,"Democratic"
"02635",78583,3296,"Democratic"
"02637",NA,253,"Democratic"
"02638",58750,3207,"Democratic"
"02639",46510,2875,"Democratic"
"02641",128576,532,"Democratic"
"02642",58056,4937,"Democratic"
"02643",NA,26,"Democratic"
"02644",90540,3955,"Democratic"
"02645",62835,9663,"Democratic"
"02646",66771,1676,"Democratic"
"02647",146705,129,"Democratic"
"02648",68260,7301,"Democratic"
"02649",63657,14006,"Democratic"
"02650",66932,848,"Democratic"
"02651",NA,16,"Democratic"
"02652",52639,1175,"Democratic"
"02653",59938,5911,"Democratic"
"02655",72546,3518,"Democratic"
"02657",41140,2942,"Democratic"
"02659",51033,1108,"Democratic"
"02660",49024,6261,"Democratic"
"02663",21912,173,"Democratic"
"02664",47873,9371,"Democratic"
"02666",61477,828,"Democratic"
"02667",51908,2580,"Democratic"
"02668",80296,3278,"Democratic"
"02669",100109,285,"Democratic"
"02670",49871,1307,"Democratic"
"02671",45769,1023,"Democratic"
"02672",205324,180,"Democratic"
"02673",55204,8402,"Democratic"
"02675",61365,6577,"Democratic"
"02702",89833,4125,"Democratic"
"02703",67039,43593,"Democratic"
"02713",38333,52,"Democratic"
"02715",86823,3123,"Democratic"
"02717",81150,4745,"Democratic"
"02718",80211,6655,"Democratic"
"02719",60326,15873,"Democratic"
"02720",41910,30287,"Democratic"
"02721",30180,26290,"Democratic"
"02723",28120,14767,"Democratic"
"02724",27390,16908,"Democratic"
"02725",67396,2631,"Democratic"
"02726",74141,15534,"Democratic"
"02738",80456,4907,"Democratic"
"02739",78864,6045,"Democratic"
"02740",34259,43087,"Democratic"
"02743",66276,10307,"Democratic"
"02744",31216,11900,"Democratic"
"02745",47536,24576,"Democratic"
"02746",25623,15342,"Democratic"
"02747",71073,22927,"Democratic"
"02748",64077,11442,"Democratic"
"02760",78087,26739,"Democratic"
"02762",77109,8264,"Democratic"
"02763",125769,1973,"Democratic"
"02764",79615,3988,"Democratic"
"02766",81069,19031,"Democratic"
"02767",80761,13566,"Democratic"
"02769",82500,11608,"Democratic"
"02770",88636,5093,"Democratic"
"02771",70966,13708,"Democratic"
"02777",71179,15840,"Democratic"
"02779",90741,6411,"Democratic"
"02780",49732,49036,"Democratic"
"02790",78750,15717,"Democratic"
"02791",71042,246,"Democratic"
"02802",48456,786,"Democratic"
"02804",71772,2607,"Democratic"
"02806",103696,16310,"Democratic"
"02807",90491,1051,"Democratic"
"02808",73382,2401,"Democratic"
"02809",62358,22938,"Democratic"
"02812",110233,1497,"Democratic"
"02813",69349,7831,"Democratic"
"02814",82127,7496,"Democratic"
"02815",125000,278,"Democratic"
"02816",64581,32611,"Democratic"
"02817",78438,6135,"Democratic"
"02818",85429,18082,"Democratic"
"02822",82189,6111,"Democratic"
"02825",81923,5377,"Democratic"
"02826",33203,791,"Democratic"
"02827",93750,2172,"Democratic"
"02828",75408,7704,"Democratic"
"02830",66658,5976,"Democratic"
"02831",82207,3515,"Democratic"
"02832",57318,4608,"Democratic"
"02833",64554,784,"Democratic"
"02835",90484,5405,"Democratic"
"02836",68500,136,"Democratic"
"02837",85852,3492,"Democratic"
"02838",47323,3400,"Democratic"
"02839",73750,1902,"Democratic"
"02840",60751,23335,"Democratic"
"02841",NA,1392,"Democratic"
"02842",69495,16095,"Democratic"
"02852",77049,22551,"Democratic"
"02857",76775,8412,"Democratic"
"02858",92500,570,"Democratic"
"02859",58828,6738,"Democratic"
"02860",32614,45199,"Democratic"
"02861",54184,14,"Democratic"
"02863",27993,19385,"Democratic"
"02864",72416,33396,"Democratic"
